Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation,Benchmark,Size,GPUs
0.0,271832,48,5663.2,3253,7170,467.1,CUDA_API,cuInit,in.rhodo,864,6
62.6,1613349112077,96,16805719917.5,16509124616,16915710751,101979072.4,CUDA_API,cuCtxCreate_v2,in.rhodo,864,8
35.3,908858923820,96,9467280456.5,8172010740,9821735502,251534641.8,CUDA_API,cuCtxDestroy_v2,in.rhodo,864,8
0.5,12398324149,1680,7379954.9,5330,55366071,12412572.5,CUDA_API,cuMemFree_v2,in.rhodo,864,8
0.4,9048262376,864,10472525.9,8242,104331170,20687499.0,CUDA_API,cuMemFreeHost,in.rhodo,864,8
0.3,8732420901,336,25989347.9,7335,190116249,58818842.3,CUDA_API,cuMemHostAlloc,in.rhodo,864,8
0.3,7020607728,1680,4178933.2,3786,63212173,10825670.8,CUDA_API,cuMemAlloc_v2,in.rhodo,864,8
0.2,4379218261,68544,63889.2,1462,8106734,504785.7,CUDA_API,cuEventSynchronize,in.rhodo,864,8
0.1,2718145734,17568,154721.4,1599,3836731,299046.8,MEMORY_OPER,[CUDA memcpy HtoD],in.rhodo,864,8
0.1,2588097743,1872,1382530.8,11132,3453537,866012.1,CUDA_API,cuMemcpyHtoD_v2,in.rhodo,864,8
0.1,1569436203,4848,323728.6,302181,385990,7895.5,CUDA_KERNEL,k_charmm_long,in.rhodo,864,8
0.0,959107734,24864,38574.2,1824,245636,45820.5,MEMORY_OPER,[CUDA memcpy DtoH],in.rhodo,864,8
0.0,826145816,4848,170409.6,151618,231875,13592.7,CUDA_KERNEL,make_rho,in.rhodo,864,8
0.0,755002947,576,1310769.0,1177047,1434011,61369.4,CUDA_KERNEL,calc_neigh_list_cell,in.rhodo,864,8
0.0,605861757,528,1147465.4,4425,7851282,1940690.8,CUDA_API,cuMemAllocHost_v2,in.rhodo,864,8
0.0,488049271,128064,3811.0,1545,461402,4489.1,CUDA_API,cuEventRecord,in.rhodo,864,8
0.0,295413696,21744,13586.0,4567,712738,9623.4,CUDA_API,cuLaunchKernel,in.rhodo,864,8
0.0,254920120,15696,16241.1,3873,315559,9625.0,CUDA_API,cuMemcpyHtoDAsync_v2,in.rhodo,864,8
0.0,239439607,4848,49389.4,27905,149667,15567.8,CUDA_KERNEL,interp,in.rhodo,864,8
0.0,203783904,576,353791.5,299621,398982,20935.9,CUDA_KERNEL,kernel_special,in.rhodo,864,8
0.0,153624196,24768,6202.5,3318,40216,2316.9,CUDA_API,cuMemcpyDtoHAsync_v2,in.rhodo,864,8
0.0,126080181,4848,26006.6,12851,105202,9778.1,CUDA_API,cuMemsetD32Async,in.rhodo,864,8
0.0,89991475,96,937411.2,93597,2071097,477205.0,CUDA_API,cuMemGetInfo_v2,in.rhodo,864,8
0.0,73276700,4992,14678.8,1567,85569,16778.9,MEMORY_OPER,[CUDA memset],in.rhodo,864,8
0.0,65903487,4848,13594.0,5057,91010,12015.0,CUDA_KERNEL,particle_map,in.rhodo,864,8
0.0,45440598,240,189335.8,88866,419778,47246.4,CUDA_API,cuModuleLoadDataEx,in.rhodo,864,8
0.0,27478962,1056,26021.7,1773,604343,71803.9,CUDA_API,cuStreamSynchronize,in.rhodo,864,8
0.0,11509559,576,19981.9,18592,37568,1804.6,CUDA_KERNEL,transpose,in.rhodo,864,8
0.0,4514736,96,47028.5,32617,128167,16499.9,CUDA_API,cuMemcpyDtoH_v2,in.rhodo,864,8
0.0,2913973,2016,1445.4,252,55816,2939.4,CUDA_API,cuEventDestroy_v2,in.rhodo,864,8
0.0,2311153,2016,1146.4,385,18003,1366.9,CUDA_API,cuEventCreate,in.rhodo,864,8
0.0,2112106,528,4000.2,3104,8481,522.1,CUDA_KERNEL,kernel_zero,in.rhodo,864,8
0.0,1801889,144,12513.1,6161,31398,4895.1,CUDA_API,cuMemsetD8Async,in.rhodo,864,8
0.0,380103,96,3959.4,3615,4320,185.7,CUDA_KERNEL,kernel_info,in.rhodo,864,8
0.0,284966,48,5936.8,5402,8055,636.8,CUDA_API,cuInit,in.rhodo,864,8
46.7,169873556180,32,5308548630.6,4630089446,5572855957,258499983.4,CUDA_API,cuCtxCreate_v2,in.rhodo,2048,1
24.2,88178811187,32,2755587849.6,2643747261,2829220960,50769067.4,CUDA_API,cuCtxDestroy_v2,in.rhodo,2048,1
11.2,40721669240,22848,1782285.9,1462,207934291,17846523.8,CUDA_API,cuEventSynchronize,in.rhodo,2048,1
9.8,35821037731,192,186567904.8,134517427,207273186,5547996.6,CUDA_KERNEL,calc_neigh_list_cell,in.rhodo,2048,1
1.4,5185510602,192,27007867.7,1516335,37353777,6738127.9,CUDA_KERNEL,kernel_special,in.rhodo,2048,1
1.4,4929535032,624,7899895.9,10832,22138884,8538776.0,CUDA_API,cuMemcpyHtoD_v2,in.rhodo,2048,1
